試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,14,,岸海斗,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,15,,新山駿,4,■,■,■,■,nan,27,10,3,37.0,25.9,2.50,0,0,0,-,0,-,22,2,5,7,11.4,27,22,3,87.0,12
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,16,,西岡泰成,4,■,■,■,■,nan,16,7,0,43.8,43.8,1.75,1,0,0,0.0,6,1.50,17,2,2,2,11.8,1,0,1,50.0,15
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,17,,筧颯斗,2,nan,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,18,,鈴木浩大,4,□,□,■,■,nan,2,2,0,100.0,100.0,0.50,0,0,0,-,1,0.25,9,0,3,0,-8.3,0,0,0,-,3
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,21,,伊藤優介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,117,54,8,46.2,39.3,13.50,10,5,0,50.0,9,2.25,88,4,18,17,4.3,83,48,18,68.7,67
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,3,,高井大輝,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,18,0,1,3,2.8,0,0,0,-,0
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,4,,福池凌太,4,■,■,■,■,nan,37,17,2,45.9,40.5,4.25,15,8,1,53.3,0,-,12,0,4,4,0.0,3,0,0,0.0,17
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,5,,浅田潮,1,nan,nan,□,nan,nan,3,1,0,33.3,33.3,1.00,0,0,0,-,1,1.00,2,0,0,0,0.0,0,0,0,-,2
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,6,,篠原和政,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,7,,石坂ハスナヌ,4,■,■,■,■,nan,10,3,0,30.0,30.0,0.75,0,0,0,-,3,0.75,14,0,0,1,1.8,3,0,1,16.7,6
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,9,,荻野颯大,4,■,■,■,■,nan,13,6,1,46.2,38.5,1.50,0,0,0,-,2,0.50,14,1,2,3,8.9,6,0,3,25.0,9
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,10,,柳生大成,1,nan,□,nan,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,11,L,新関忠稀,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,27,18,8,81.5,0
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,13,,今中聖也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,14,,小林雅治,4,■,■,■,■,nan,9,5,0,55.6,55.6,1.25,1,0,0,0.0,4,1.00,17,1,2,2,5.9,0,0,0,-,10
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,15,L,難波宏冶,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,17,,矢澤雅敦,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,18,,笹岡歩夢,3,□,nan,□,□,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
2022-02-13,長野GaRons,トヨタモビリティ東京スパークル,3,1,1,19,,奥原蓮,4,■,■,■,■,nan,43,21,5,48.8,37.2,5.25,5,2,2,40.0,0,-,14,0,1,3,3.6,28,16,3,62.5,21
